Wall time,Step,Value
1616936568.201879,10107,1.797423101379536e-05
1616936569.826061,10113,1.8011367501458153e-05
1616936573.865361,10128,1.797878030629363e-05
1616936578.182584,10144,1.7967198800761253e-05
1616936585.607846,10168,1.7997957911575213e-05
1616936590.116291,10185,1.8034812455880456e-05
1616936606.025001,10245,1.7999780538957566e-05
1616936608.926902,10256,1.7985057638725266e-05
1616936614.238458,10276,1.8022945369011723e-05
1616936616.09617,10283,1.7975411537918262e-05
1616936617.434858,10288,1.799584242689889e-05
1616936646.260896,10396,1.7985861632041633e-05
1616936647.074911,10399,1.799013807612937e-05
1616936652.738879,10420,1.7979218682739884e-05
1616936654.080207,10425,1.7981432392844e-05
1616936665.56825,10468,1.797328150132671e-05
1616936668.460992,10479,1.798799348762259e-05
1616936671.154746,10489,1.7984370060730726e-05
1616936672.591114,10493,1.7964743165066466e-05
1616936680.251717,10522,1.7981943528866395e-05
1616936683.672561,10531,1.8008895494858734e-05
1616936689.940639,10554,1.7970771295949817e-05
1616936690.212226,10555,1.7992393622989766e-05
1616936693.407561,10567,1.799735582608264e-05
1616936701.877267,10598,1.798803532437887e-05
1616936704.261782,10607,1.7986436432693154e-05
1616936708.770454,10624,1.800325480871834e-05
1616936710.069081,10629,1.7967440726351924e-05
1616936712.428015,10638,1.799694109649863e-05
1616936714.509324,10646,1.7973899957723916e-05
1616936716.587225,10654,1.800895915948786e-05
1616936721.00821,10671,1.8008653569268063e-05
1616936728.829762,10701,1.7971795386984013e-05
1616936731.459949,10711,1.7990647393162362e-05
1616936741.465947,10748,1.7989539628615603e-05
1616936743.873071,10757,1.7962884157896042e-05
1616936744.142716,10758,1.799922392820008e-05
1616936749.995949,10780,1.795237221813295e-05
1616936751.862443,10787,1.7982887584366836e-05
1616936759.995171,10815,1.7971688066609204e-05
1616936762.825117,10825,1.7973725334741175e-05
1616936764.187554,10830,1.796690048649907e-05
1616936767.260441,10841,1.7958274838747457e-05
1616936769.712894,10850,1.7981972632696852e-05
1616936773.496863,10864,1.7984206351684406e-05
1616936783.802086,10902,1.7985845261137e-05
